ATU Classification Type,AT Classification Type,Thompson Motif
,,D150. Transformation: man to bird.
,,D688. Transformed mother suckles child.
,,H13. Recognition by overheard conversation (usually with animals or objects).
451 The Maiden who Seeks Her Brothers,AT 451 The Brothers who were Turned into Birds,"P253.0.5. One sister and six (seven, eleven, twelve) brothers."
,,P253.2. Sister faithful to transformed brother.
,,D161.1. Transformation: man to swan
,,D758. Disenchantment by maintaining silence
,,D753.1. Disenchantment by sewing shirts for enchanted brothers.
,,K2116.1.1. Innocent woman accused of killing her new-born children.
ATU 460A Journey to God (Fortune),AT 461A Man Journeys to God Seeking Advice (now ATU 460A),"J1262.5. †J1262.5. Parishioner hears preacher say that alms are returned ""100 to 1""."
,,H1291. †H1291. Questions asked on way to other world.
,,H1292. †H1292. Answers found in other world to questions propounded on the way.
ATU 460B Journey in Search of Fortune,AT 460B Journey in Search of Luck,H1281. †H1281. Quest to Fortune to seek fortune.
,,N127.0.1. †N127.0.1. Different kinds of luck attending persons born on the several days of the week.
ATU 461 Three Hairs from the Devil's Beard,AT 461 Three Hairs from the Devil,H1273.2. †H1273.2. Quest for three hairs from devil's beard.
,,H1291. †H1291. Questions asked on way to other world.
,,G530.1. †G530.1. Help from ogre's wife (mistress).
,,Q521.5. †Q521.5. Penance: ferryman setting people over a stream until relieved by another.
,,A1111. †A1111. Impounded water.
,,P413.1.1. †P413.1.1. Ferryman puts oar into king's hand and he must remain ferryman.
ATU 460A Journey to God,AT 461A Man Journeys to God Seeking Advice (now ATU 460A),
ATU 462 The Outcast Queens and the Ogress Queen,AT 462 The Outcast Queens and the Ogress Queen,G405. †G405. Man on hunt falls into ogre's (witch's) power.
,,G264. †G264. La Belle Dame Sans Merci.
,,S435. †S435. Cast-off wife abandoned in pit.
,,S438. †S438. Abandoned queen blinded.
,,L71. †L71. Only the youngest of group of imprisoned women refuses to eat her newborn child.
,,K511. †K511. Uriah letter changed. Falsified order of execution
ATU 465 Man Persecuted because of his Beautiful Wife,AT 465 King Tries to Steal Poor Man's Wife,B642. †B642. Marriage to person in bird form
,,D721.3. †D721.3. Disenchantment by destroying skin (covering).
,,H911. †H911. Tasks assigned at suggestion of jealous rivals.
,,H931. †H931. Tasks assigned in order to get rid of hero
,,H1335. †H1335. Quest for the living harp.
,,H1090. †H1090. Tasks requiring miraculous speed.
,,"H1023.3. †H1023.3. Task: bringing berries (fruit, roses) in winter."
,,H1233.2.1. †H1233.2.1. Quest accomplished with aid of wife.
,,H931. †H931. Tasks assigned in order to get rid of hero
ATU 465 Man Persecuted because of his Beautiful Wife,AT 465A Quest for the Unknown (now ATU 465),
ATU 465 Man Persecuted because of his Beautiful Wife,AT 465B Quest for the Living Harp (now ATU 465),
ATU 465 Man Persecuted because of his Beautiful Wife,AT 465C Journey to the Other World (now ATU 465),
ATU 317 The Tree That Grows uo tp the Sky,AT 468 Princess in the Tree that Reached the Sky (now ATU 317),F54.1. †F54.1. Tree stretches to sky
ATU 317 The Tree That Grows uo tp the Sky,AT 468 Princess in the Tree that Reached the Sky (now ATU 317),B11.11. †B11.11. Fight with dragon.
ATU 470 Friends in Life and Death,AT 470 Friends in Life and Death,M253. †M253. Friends in life and death.
,,E238. †E238. Dinner with the dead.
,,F171.2. †F171.2. Broad and narrow road in otherworld.
,,F171.1. †F171.1. Fat and lean kine in otherworld.
,,D2011. †D2011. Years thought days
ATU 470A The Offended Skull,AT 470A Skeleton Invited to Dinner,E238. †E238. Dinner with the dead
,,C13. †C13. The offended skull (statue) (Festin de Pierre).
ATU 470B Land Where No One Dies,AT 470* Returning from the Land of the Immortals (now ATU 470B),F116. †F116. Journey to the Land of the Immortals.
ATU 471 The Bridge to the Otherworld,AT 471 The Bridge to the Other World,H1385.6. †H1385.6. Quest for lost sister
,,H1251. †H1251. Quest to other world for samples of magic animals' food.
,,E481.2.1. †E481.2.1. Bridge to land of dead.
,,F171. †F171. Extraordinary sights in otherworld.
,,F171.3. †F171.3. People and things that strike one another in otherworld.
,,F171.5. †F171.5. Animals in otherworld pass in and out of church and become human beings
,,"F171.0.1. †F171.0.1. Enigmatic happenings in otherworld, which are later explained."
,,R155.1. †R155.1. Youngest brother rescues his elder brothers
ATU 471A Monk and the Bird,AT 471A Bird Turns Centuries into Minutes,D2011.1. †D2011.1. Years seem moments while man listens to song of bird.
ATU 475 The Man as Heater of Hell's Kettle,AT 475 Heating Hell's Kitchen,M210. †M210. Bargain with devil.
,,C721.1. †C721.1. Tabu: bathing during certain time.
,,C325. †C325. Tabu: looking into the pots in hell.
,,D475.1. †D475.1. Transformation: objects to gold
,,D861.1. †D861.1. Magic object stolen by host (at inn.)
,,D885. †D885. Magic object recovered with devil's help
ATU 476* In the Frog's House,AT 476* Midwife or Godmother for the Elves,
ATU 476** Midwife in the Underworld,AT 476** Midwife in the Underworld,B81.6. †B81.6. Mermaid has human midwife.
,,F372.1. †F372.1. Fairies take human midwife to attend fairy woman.
,,D475.1. †D475.1. Transformation: objects to gold.
ATU 480 The Kind and the Unkind Girls,AT 480 The Kind and the Unkind Girls,Q2. †Q2. Kind and unkind
,,S31. †S31. Cruel stepmother.
,,H934.3. †H934.3. Tasks assigned by stepmother.
,,N791. †N791. Adventures from pursuing object carried off by river.
,,H935. †H935. Witch assigns tasks
,,Q41.2. †Q41.2. Reward for cleansing loathsome person.
,,L211. †L211. Modest choice: three caskets type.
,,Q41. †Q41. Politeness rewarded.
,,D1860. †D1860. Magic beautification.
ATU 500 Name of the Supernatural Helper,AT 500 Guessing the Helper's Name (Rumpelstiltskin),H914. †H914. Tasks assigned because of mother's foolish boasting
,,H1021.8. †H1021.8. Task: spinning gold.
,,D2183. †D2183. Magic spinning
,,H521. †H521. Test: guessing unknown propounder's name
,,S222.1. †S222.1. Woman promises her unborn child to appease offended witch.
,,N475. †N475. Secret name overheard by eavesdropper.
,,C432.1. †C432.1. Guessing name of supernatural creature gives power over him
ATU 501 The Three Old Spinning Women,AT 501 Three Old Spinning Women,H914. †H914. Tasks assigned because of mother's foolish boasting
,,H1092. †H1092. Task: spinning impossible amount in one night.
,,G201.1. †G201.1. Three witches (hags) deformed from much spinning.
,,G244. †G244. Witch spins.
ATU 502 The Wild Man,AT 502 The Wild Man as Helper,G671. †G671. Wild man released from captivity aids hero.
,,R222. †R222. Unknown knight.
ATU 503 Gifts of the Little People,AT 503 Hunchbacks and the Elves,F331.1. †F331.1. Mortal wins fairies' gratitude by joining in their dance.
,,F331.3. †F331.3. Mortal wins fairies' gratitude by joining in their song and completing it by adding the names of the days of the week.
,,F344.1. †F344.1. Fairies remove hunchback's hump (or replace it).
,AT 504 Changeling (new Ashlimann category,
ATU 505 Grateful dead,AT 505 Grateful dead,503 Hunchback and the Elves
,,E341. †E341. The grateful dead.
,,M241. †M241. Bargain: to divide all winnings.
,,H972. †H972. Tasks accomplished with help of grateful dead.
,,M241.1. †M241.1. Dividing the winnings: half of the bride demanded.
ATU 505 Grateful dead,AT 506 The Grateful Dead Helps save the Princess (now ATU 505),
ATU 507 The Monster's Bride,AT 507A Grateful Dead Helps Rescue the Ogre's Bride (now ATU 507),H322.1. †H322.1. Suitor test: finding object hidden by princess
,,H972. †H972. Tasks accomplished with help of grateful dead.
,,T172.2.1. †T172.2.1. Grateful dead man kills princess's monster husband.
,,T172.0.1. †T172.0.1. All husbands have perished on bridal night.
ATU 505 Grateful dead,AT 508 The Bride Won in a Tournement (now ATU 505),
ATU 510A Cinderella,AT 510A Cinderella,S31. †S31. Cruel stepmother.
,,L55. †L55. Stepdaughter heroine
,,B450. †B450. Helpful birds
,,D1050.1. †D1050.1. Clothes produced by magic
,,N815. †N815. Fairy as helper.
,,N711.6. †N711.6. Prince sees heroine at ball and is enamored.
,,C761.3. †C761.3. Tabu: staying too long at ball.
,,F823.2. †F823.2. Glass shoes
,,H36.1. †H36.1. Slipper test.
,,K1911.3.3.1. †K1911.3.3.1. False bride's mutilated feet.
ATU 510B Peau d'Asne,AT 510B King Tries to Marry His Daughter,M255. †M255. Deathbed promise concerning the second wife.
,,T411.1. †T411.1. Lecherous father
,,T311.1. †T311.1. Flight of maiden (bridegroom) to escape marriage.
,,"K521.1. †K521.1. Escape by dressing in animal (bird, human) skin."
,,N711.6. †N711.6. Prince sees heroine at ball and is enamored.
,,"R255. †R255. Formula for girl fleeing: behind me night, etc."
,,H151.5. †H151.5. Attention attracted by hints dropped by heroine as menial: recognition follows.
,,H94.2. †H94.2. Identification by ring baked in bread.
"ATU 511 One-Eye, Two-Eyes, and Three-Eyes","AT 511 One-Eye, Two-Eyes, and Three-Eyes",S31. †S31. Cruel stepmother.
,,B535.0.1. †B535.0.1. Cow as nurse cares for children.
,,F512.1. †F512.1. Person with one eye.
,,F512.2.1.1. †F512.2.1.1. Three-eyed person.
,,D830.1. †D830.1. Attempt to learn about magic object by spying.
,,B100.1. †B100.1. Treasure found in slain helpful animal.
,,D1470.2.1. †D1470.2.1. Provisions received from magic tree.
,,H31.12. †H31.12. Only one man is able to pluck fruits from tree.
,,L162. †L162. Lowly heroine marries prince (king).
"ATU 511 One-Eye, Two-Eyes, and Three-Eyes",AT 511A Little Ox (now ATU 511),
ATU 513A Six Go Through the Whole World,AT 513A Six Go Through the World,F601. †F601. Extraordinary companions.
,,F681.1. †F681.1. Marvelous runner keeps leg tied up.
,,F632. †F632. Mighty eater
,,F641. †F641. Person of remarkable hearing.
,,F621. †F621. Strong man: tree-puller.
,,F661.5.3. †F661.5.3. Skillful marksman shoots left eye of fly at two miles.
,,D2144.1.2. †D2144.1.2. Man with power to make everything freeze.
,,H331.5.1. †H331.5.1. Race with princess for her hand.
,,H1142. †H1142. Task: drinking enormous amount.
,,H1511. †H1511. Heat test.
,,H1127. †H1127. Task: carrying off huge quantity of money.
ATU 513B Land and Water Ship,AT 513B Land and Water Ship,H331. †H331. Suitor contests: bride offered as prize.
,,D1533.1.1. †D1533.1.1. Magic land and water ship.
,,N825.2. †N825.2. Old man helper.
,,F601. †F601. Extraordinary companions.
,,F601.2. †F601.2. Extraordinary companions help hero in suitor tests.
,,L161. †L161. Lowly hero marries princess.
ATU 531 The Clever Horse,AT 513C Hunter's Son (now ATU 531),NA
ATU 514 The Shift of Sex,AT 514 Girl Turns Into Man,K1837. †K1837. Disguise of woman in man's clothes
,,D11. †D11. Transformation woman to man.
ATU 514** Young Woman Disguised as Man is Wooed by Queen,AT 514** Young Woman Disguised as Man is Wooed by Queen,K1837. †K1837. Disguise of woman in man's clothes
,,K1825.1. †K1825.1. Disguise as doctor.
,,K2111. †K2111. Potiphar's wife.
,,F954. †F954. Dumb person brought to speak.
,,L162. †L162. Lowly heroine marries prince (king).
ATU 516 Faithful John,AT 516 Faithful John,T11.3. †T11.3. Love through dream.
,,P361. †P361. Faithful servant.
,,K1332. †K1332. Seduction by taking aboard ship to inspect wares.
,,B211.3. †B211.3. Speaking bird.
,,N451. †N451. Secrets overheard from animal (demon) conversation.
,,H1515. †H1515. Poisoned food test.
,,T172.2. †T172.2. Bridal chamber invaded by magic dragon (serpent).
,,N342.1. †N342.1. Faithful servant guarding master's wife from danger falsely condemned for betraying his master.
,,C423.4. †C423.4. Tabu: uttering secrets heard from spirits.
,,C961.2. †C961.2. Transformation to stone for breaking tabu.
,,D766.2. †D766.2. Disenchantment by application of blood.
,,S268. †S268. Child sacrificed to provide blood for cure of friend.
ATU 516C Amicus and Amelius,AT 516C Saint James of Galacia,S268. †S268. Child sacrificed to provide blood for cure of friend.
ATU 517 The Boy and the Bird-language,AT 517 The Boy Who Understood Birds,B215.1. †B215.1. Bird language.
,,B143.1. †B143.1. Bird gives warning.
,,M312. †M312. Prophecy of future greatness for youth.
,,M373. †M373. Expulsion to avoid fulfillment of prophecy.
,,N682. †N682. Prophecy of future greatness fulfilled when hero returns home unknown.
ATU 518 Men Fight over Magic Objects,AT 518 Quarreling Giants Lose their Magic Objects,D1361.12. †D1361.12. Magic cloak of invisibility
,,D832. †D832. Magic objects acquired by acting as umpire for fighting heirs.
,,D1521.1. †D1521.1. Seven-league boots.
,,D1520.19. †D1520.19. Magic transportation by carpet.
,,D832. †D832. Magic objects acquired by acting as umpire for fighting heirs.
ATU 519 The Strong Woman as Bride (Brunhilde),"AT 519 Brunhilde, the Strong Bride",T58. †T58. Wooing the strong and beautiful bride.
,,H345.1. †H345.1. Suitor test: lifting strong princess's giant weapon.
,,H345.2. †H345.2. Suitor test: riding strong princess's horse.
,,H345. †H345. Suitor test: overcoming princess in strength.
,,T173.1. †T173.1. Strong bride tries to stifle husband in bed.
,,K1844.1. †K1844.1. Husband has his strong servant substitute in bed with strong wife.
,,Q451.2. †Q451.2. Laming as punishment.
,,D1500.1.18. †D1500.1.18. Magic healing water.
,,R169.4. †R169.4. Hero rescued by servant.
ATU 530 Princess on the Glass Mountain,AT 530 Princess on the Glass Mountain,H1471. †H1471. Watch for devastating monster
,,B315. †B315. Animal helpful after being conquered.
,,B401. †B401. Helpful horse
,,H331.1.1. †H331.1.1. Suitor contest: riding up glass mountain.
,,H80. †H80. Identification by tokens.
ATU 531 The Clever Horse,AT 531 Ferdinand the Faithful and Ferdinand the Unfaithful,H1381.2.2.1. †H1381.2.2.1. Son seeks unknown father.
,,B211.1.3. †B211.1.3. Speaking horse.
,,B401. †B401. Helpful horse.
,,B341. †B341. Helpful animal's injunctions disobeyed.
,,K1934. †K1934. Impostor forces hero (heroine) to change places with him (her).
,,B350. †B350. Grateful animals.
,,H1213.1. †H1213.1. Quest for princess caused by sight of one of her hairs dropped by a bird (or floating on river)
,,H911. †H911. Tasks assigned at suggestion of jealous rivals
,,E15.1. †E15.1. Resuscitation by boiling.
,,J2411.1. †J2411.1. Imitation of magic rejuvenation unsuccessful.
,,B313. †B313. Helpful animal an enchanted person.
ATU 532* Magic Ox,AT 532* God's Godson,B411.2. †B411.2. Helpful ox.
ATU 533 Speaking Horsehead,AT 533 Goosegirl,K2252. †K2252. Treacherous maidservant.
,,K1911.1.1. †K1911.1.1. False bride takes true bride's place on the way to the wedding.
,,K1934. †K1934. Impostor forces hero (heroine) to change places with him (her).
,,K1933. †K1933. Impostor forces oath of secrecy.
,,K1816.5. †K1816.5. Disguise as goose-girl (turkey-girl).
,,B335. †B335. Helpful animal killed by hero's enemy.
,,B133.3. †B133.3. Speaking horse-head.
,,H13.2.7. †H13.2.7. Recognition by overheard conversation with stove.
ATU 404 Blinded Bride,AT 533* Snake Helper (now ATU 404),D1454.2. †D1454.2. Treasure falls from mouth.
,,S31. †S31. Cruel stepmother.
,,S165. †S165. Mutilation: putting out eyes.
,,K1911.1.1. †K1911.1.1. False bride takes true bride's place on the way to the wedding.
,,E781.2. †E781.2. Eyes bought back and replaced.
,,H35. †H35. Recognition by unique manner of performing an act.
ATU 545A The Cat Castle,AT 545A The Cat Castle,N411.1.1. †N411.1.1. Cat as sole inheritance.
,,B211.1.8. †B211.1.8. Speaking cat.
,,B422. †B422. Helpful cat
,,F771.4.1. †F771.4.1. Castle inhabited by ogres.
,,"G510. †G510. Ogre killed, maimed, or captured."
,,D711. †D711. Disenchantment by decapitation.
ATU 545B Puss In Boots,AT 545B Puss-In-Boots,B211.1.8. †B211.1.8. Speaking cat.
,,B580. †B580. Animal helps men to wealth and greatness.
,,B582.1.1. †B582.1.1. Animal wins wife for his master (Puss in Boots).
,,K1917.3. †K1917.3. Penniless wooer: helpful animal reports master wealthy and thus wins girl for him
,,K1952.1.1. †K1952.1.1. Poor boy said by helpful animal to be dispossessed prince (wealthy man) who has lost clothes while swimming (in shipwreck).
,,F771.4.1. †F771.4.1. Castle inhabited by ogres
,,D711. †D711. Disenchantment by decapitation.
ATU 545D* Pea King,AT 545D* Bean King,
ATU 546 The Clever Parrot,AT 546 Parrot Helpd Hero Win Princess,B469.9. †B469.9. Helpful parrot.
"ATU 550 Bird, Horse, and Princess",AT 550 Quest for the Golden Bird,H1331.1. †H1331.1. Quest for marvelous bird.
,,L13. †L13. Compassionate youngest son
,,B313. †B313. Helpful animal an enchanted person.
,,B560. †B560. Animals advise men.
,,B184.1. †B184.1. Magic horse
,,N711.3. †N711.3. Hero finds maiden in (magic) garden.
,,B435.1. †B435.1. Helpful fox.
,,H1242. †H1242. Youngest brother alone succeeds on quest.
,,W154.12.3. †W154.12.3. Ungrateful brothers plot against rescuer.
,,K1932. †K1932. Impostors claim reward (prize) earned by hero.
,,L161. †L161. Lowly hero marries princess.
ATU 551 The Water of Life,AT 551 Quest for the Water of Life,H1321.1. †H1321.1. Quest for Water of Life (water which will resuscitate).
,,H1210.1. †H1210.1. Quest assigned by father
,,N825.2. †N825.2. Old man helper.
,,H1242. †H1242. Youngest brother alone succeeds on quest.
,,N711.3. †N711.3. Hero finds maiden in (magic) garden.
,,T475.2. †T475.2. Hero lies by princess in magic sleep and begets child
,,H81.1. †H81.1. Hero lies by sleeping girl and leaves identification token with her.
,,K2211. †K2211. Treacherous brother.
,,W154.12.3. †W154.12.3. Ungrateful brothers plot against rescuer.
,,K1932. †K1932. Impostors claim reward (prize) earned by hero
,,H1381.2.1. †H1381.2.1. Woman seeks unknown father of her child.
,,H80. †H80. Identification by tokens.
,,L161. †L161. Lowly hero marries princess.
ATU 552 Girls Who Married Animals,AT 552 Girls Who Married Animals,S221.1. †S221.1. Bankrupt father sells his daughters in marriage to animals.
,,B640. †B640. Marriage to person in animal form.
,,D621.1. †D621.1. Animal by day; man by night.
,,B501. †B501. Animal gives part of body as talisman for summoning its aid.
ATU 554 The Grateful Animals,AT 553 The Bird Helper (now ATU 554),NA
,,B582.2. †B582.2. Animals help hero win princess.
,,B571. †B571. Animals perform tasks for man.
,,H982. †H982. Animals help man perform task.
"ATU 555 The Fisherman and his Wife,","AT 555 The Fisherman and his Wife,","B170. †B170. Magic birds, fish, reptiles, etc."
,,B375.1. †B375.1. Fish returned to water: grateful.
,,D1761.0.1. †D1761.0.1. Wishes granted without limit.
,,C773.1. †C773.1. Tabu: making unreasonable requests.
,,J514. †J514. One should not be too greedy.
,,Q338. †Q338. Immoderate request punished.
ATU 559 Dungbeetle,AT 559 Making the Princess Laugh,T68. †T68. Princess offered as prize.
,,F591. †F591. Person who never laughs
,,H341. †H341. Suitor test: making princess laugh.
,,H982. †H982. Animals help man perform task.
,,B571. †B571. Animals perform tasks for man
,,B582.2. †B582.2. Animals help hero win princess.
,,T171. †T171. Bridegroom driven from bridal chamber by magic.
,,L161. †L161. Lowly hero marries princess.
ATU 560 The Magic Ring,AT 560 The Magic Ring,B360. †B360. Animals grateful for rescue from peril of death.
,,D810. †D810. Magic object a gift.
,,D812. †D812. Magic object received from supernatural being.
,,D1470.1.15. †D1470.1.15. Magic wishing-ring.
,,D1662.1. †D1662.1. Magic ring works by being stroked.
,,D1131.1. †D1131.1. Castle produced by magic.
,,D861.5. †D861.5. Magic object stolen by hero's wife.
,,D2136.2. †D2136.2. Castle magically transported.
,,D882.1.1. †D882.1.1. Stolen magic object stolen back by helpful cat and dog
ATU 561 Aladdin,AT 561 Aladdinn and His Magic Lamp,D1470.1.15. †D1470.1.15. Magic wishing-ring.
,,D840. †D840. Magic object found.
,,D1470.1.16. †D1470.1.16. Magic wishing-lamp
,,D1421.1.5. †D1421.1.5. Magic lamp summons genie.
,,D1662.2. †D1662.2. Magic lamp works by being stroked.
,,D1131.1. †D1131.1. Castle produced by magic.
,,D860. †D860. Loss of magic object.
,,D2136.2. †D2136.2. Castle magically transported
,,D881. †D881. Magic object recovered by using second magic object.
ATU 562 The Spirit in the Blue Light,AT 562 The Spirit in the Blue Light,D845. †D845. Magic object found in underground room.
,,D1470.1. †D1470.1. Magic wishing-object.
,,D1421.1.4. †D1421.1.4. Magic light summons genie.
,,N813. †N813. Helpful genie (spirit).
,,D1426. †D1426. Magic object draws woman to man.
,,D1391. †D1391. Magic object saves person from execution.
"ATU 563 Table, Donkey, and Stick","AT 563 Table, Ass, and Stick",D1472.1.7. †D1472.1.7. Magic table supplies food and drink.
,,J2355.1. †J2355.1. Fool loses magic objects by talking about them.
,,D861.1. †D861.1. Magic object stolen by host (at inn.)
,,B103.1.1. †B103.1.1. Gold-producing ass.
,,D1401.2. †D1401.2. Magic sack furnishes mannikin who cudgels owner's enemies.
,,D881.2. †D881.2. Recovery of magic object by use of magic cudgel.
ATU 564 Magic Providing Purse,"AT 564 Magic Purse or ""Out of the Sack""",D1193. †D1193. Magic bag (sack).
,,D1030.1. †D1030.1. Food supplied by magic
,,D861. †D861. Magic object stolen.
,,D1401.1. †D1401.1. Magic club (stick) beats person.
ATU 565 The Magic Mill,AT 565 The Magic Mill,D1601.21.1. †D1601.21.1. Self-grinding salt-mill.
,,D1472.1.9. †D1472.1.9. Magic pot supplies food and drink.
,,D1651. †D1651. Magic object obeys master alone.
,,D861. †D861. Magic object stolen.
,,C916.3. †C916.3. Magic porridge-pot keeps cooking.
,,A1115.2. †A1115.2. Why the sea is salt: magic salt mill.
ATU 566 Three Magic Objects and the Wonderful Fruits,AT 566 Fruit that Grows Horns (Fortunatus),D812. †D812. Magic object received from supernatural being.
,,D1451. †D1451. Inexhaustible purse furnishes money.
,,D1520.11. †D1520.11. Magic transportation by cap (hat).
,,D1475.1. †D1475.1. Magic soldier-producing horn.
,,D861.6. †D861.6. Magic object stolen in card game.
,,D992.1. †D992.1. Magic horns (grow on person's forehead).
,,D895. †D895. Magic object returned in payment for removal of magic horns.
ATU 567 The Magic Bird- Heart,AT 567 The Magic Bird Heart,B113.1. †B113.1. Treasure-producing bird-heart.
,,D1561.1.1. †D1561.1.1. Magic bird-heart (when eaten) brings man to kingship
,,M312.3. †M312.3. Eater of magic bird-heart will become rich (or king).
,,D861.5. †D861.5. Magic object stolen by hero's wife.
,,D965. †D965. Magic plant.
,,D132.1. †D132.1. Transformation: man to ass.
ATU 567A Magic Bird-Heart and Separated Brothers,AT 567A Magic Bird Heart and Twin Brothers,S322.4. †S322.4. Evil stepmother casts boy forth.
,,K512. †K512. Compassionate executioner
,,D1561.1.1. †D1561.1.1. Magic bird-heart (when eaten) brings man to kingship
,,M312.3. †M312.3. Eater of magic bird-heart will become rich (or king).
,,N311. †N311. Separation of persons caused by looking for water.
,,N683. †N683. Stranger accidentally chosen king.
,,S264.1. †S264.1. Man thrown overboard to placate storm.
"ATU 569 The Knapsack, the Hat, and the Horn","AT 569 The Knapsack, the Hat, and the Horn",D1470. †D1470. Magic object as provider.
,,D1472.1.22. †D1472.1.22. Magic bag (sack) supplies food.
,,D1475.4. †D1475.4. Magic soldier-producing hat.
,,D831. †D831. Magic object acquired by trick exchange.
,,D1222. †D1222. Magic horn (musical).
,,D861. †D861. Magic object stolen.
,,D831. †D831. Magic object acquired by trick exchange.
ATU 570 Rabbit-Herd,AT 570 Rabbit-Herd,T68. †T68. Princess offered as prize.
,,H1112. †H1112. Task: herding rabbits.
,,D1441.1.2. †D1441.1.2. Magic pipe calls animals together.
,,K1288. †K1288. King induced to kiss horse's rump: trickster then threatens to tell.
,,H1045. †H1045. Task: filling a sack full of lies (truths).
,,K1271.1.1. †K1271.1.1. The bag of lies: threat to tell of queen's adultery.
ATU 570* Rat-Catcher (Pied Piper),AT 570* Rat-Catcher,D1224. †D1224. Magic pipe (musical).
,,D1427.1. †D1427.1. Magic pipe compels one to follow
,,D1441.1.2. †D1441.1.2. Magic pipe calls animals together.
"ATU 571 ""All Stick Together""",AT 571 All Stick Together,F591. †F591. Person who never laughs.
,,H341. †H341. Suitor test: making princess laugh.
,,H1194. †H1194. Task: making person laugh
,,D817. †D817. Magic object received from grateful person.
,,K422. †K422. Thief rendered helpless by magic.
,,D1413. †D1413. Magic object holds person fast.
,,D2171.3.1. †D2171.3.1. Magic adhesion to goose.
,,D2171.5. †D2171.5. Persons magically stick together.
,,H341.1. †H341.1. Princess brought to laughter by people sticking together.
ATU 571B Lover Exposed,AT 571B Himphamp,H1010. †H1010. Impossible tasks
,,D812.3. †D812.3. Magic object received from devil.
,,D1413.8. †D1413.8. Chamber-pot to which one sticks.
ATU 576 Magic Knife,AT 576 Magic Knife,D838. †D838. Magic object acquired by stealing
,,D1083. †D1083. Magic knife.
,,D1400.1.4.3. †D1400.1.4.3. Magic knife conquers enemy.
ATU 577 The King's Tasks,AT 577 The King's Tasks,H335. †H335. Tasks assigned suitors.
,,D1601.14. †D1601.14. Self-chopping axe.
,,D1601.15. †D1601.15. Automatic shovel.
,,D1601.18.2. †D1601.18.2. Self-playing violin.
,,D1581. †D1581. Tasks performed by use of magic object.
,,H971.1. †H971.1. Tasks performed with help of old woman
ATU 580 Beloved of Women,AT 580 Beloved of Women,D1900. †D1900. Love induced by magic.
,,D856. †D856. Magic object acquired by gaining love of owner.
,,D1472.1.7. †D1472.1.7. Magic table supplies food and drink.
,,D1473. †D1473. Magic object furnishes clothes.
,,T45. †T45. Lover buys admission to woman's room.
ATU 566 Three Magic Objects and Wonderful Fruits,AT 580* Money without End (now ATU 566),D1451. †D1451. Inexhaustible purse furnishes money.
ATU 303 The Twins or Blood-Brothers,AT 581 Twin Brother and Thier Magic Objects (now ATU 303),D1081. †D1081. Magic sword.
"ATU 585 Spindle, Shuttle, and Needle","AT 585 Spindle, Shuttle, and Needle",H1311.2. †H1311.2. Quest for bride richest and poorest.
,,D1425.1. †D1425.1. Magic spindle brings back prince for heroine.
,,D1484.1. †D1484.1. Magic shuttle makes road.
,,D1337.1.7. †D1337.1.7. Magic needle transforms a room from plainness to beauty.
ATU 590 Faithless Mother,AT 590 Magic Belt,D1840. †D1840. Magic invulnerability.
,,D1335.4. †D1335.4. Magic belt gives strength
,,S12.1. †S12.1. Treacherous mother marries ogre and plots against son.
,,H931. †H931. Tasks assigned in order to get rid of hero.
,,H1212. †H1212. Quest assigned because of feigned illness.
,,H1333.3.1.1. †H1333.3.1.1. Quest for magic apple
,,H1361. †H1361. Quest for lion's milk.
,,F615. †F615. Strong man evades death.
,,B431.2. †B431.2. Helpful lion.
,,K975. †K975. Secret of strength treacherously discovered.
,,D861. †D861. Magic object stolen
,,B512. †B512. Medicine shown by animal.
,,D880. †D880. Recovery of magic object.
ATU 592 The Dance Among Thorns,AT 592 Dancing in Thorns,S322.4. †S322.4. Evil stepmother casts boy forth.
,,Q42.1. †Q42.1. Spendthrift knight.
,,D1761.0.2. †D1761.0.2. Limited number of wishes granted.
,,D1653.1.7. †D1653.1.7. Infallible gun.
,,D1415.2.5. †D1415.2.5. Magic fiddle causes dancing.
,,N55. †N55. Shooting contest on wager.
,,K551.3.1. †K551.3.1. Respite from death while one plays the fiddle
ATU 593 Fiddevav,AT 593 Blowing Up the Fire,N825.3. †N825.3. Old woman helper.
,,D1413. †D1413. Magic object holds person fast.
,,D1413.17. †D1413.17. Magic adhesive stone.
,,D2172.1. †D2172.1. Magic repetition.
ATU 610 The Healing Fruit,AT 610 Fruit to Cure the Princess,T68.1. †T68.1. Princess offered as prize to rescuer.
,,H346. †H346. Princess given to man who can heal her.
,,Q2. †Q2. Kind and unkind.
,,L13. †L13. Compassionate youngest son.
,,L10. †L10. Victorious youngest son.
,,N825.3. †N825.3. Old woman helper.
,,D1500.1.5. †D1500.1.5. Magic healing fruit.
,,H1010. †H1010. Impossible tasks
,,D1533.1.1. †D1533.1.1. Magic land and water ship.
,,H1112. †H1112. Task: herding rabbits.
,,H1331.1.2.1. †H1331.1.2.1. Quest for remarkable bird feathers.
,,L161. †L161. Lowly hero marries princess
ATU 612 The Three Snake-Leaves,AT 612 The Three Snake-Leaves,M254. †M254. Promise to be buried with wife if she dies first.
,,B512. †B512. Medicine shown by animal.
,,B491.1. †B491.1. Helpful serpent.
,,D1500.1.4. †D1500.1.4. Magic healing plant.
,,E165. †E165. Resuscitation of wife by husband giving up half his remaining life.
,,K2213.5. †K2213.5. The faithless resuscitated wife
